epoch,train_loss,valid_loss,pos_weight,lr,best_threshold,best_valid_balanced_accuracy,threshold_false_accept_weight,threshold_false_reject_weight,threshold_penalty_gap,initialized_from_checkpoint
1,1.2622514618194856,1.307586564745897,7.512269938650307,0.0003,0.53,0.7244241543888774,1.0,0.9,0.5,
2,1.2372178078986502,1.2926212633409464,7.512269938650307,0.0003,0.54,0.6968250674413778,1.0,0.9,0.5,
3,1.2411969489879435,1.2940565780488384,7.512269938650307,0.0003,0.54,0.6968250674413778,1.0,0.9,0.5,
4,1.2203868435524605,1.286231102405723,7.512269938650307,0.0003,0.54,0.7471467109358788,1.0,0.9,0.5,
5,1.2176456447979351,1.2859851666985835,7.512269938650307,0.0003,0.53,0.7434114961610292,1.0,0.9,0.5,
6,1.207926238506764,1.2848230708191977,7.512269938650307,0.0003,0.52,0.7575741855156671,1.0,0.9,0.5,
7,1.2172968465358287,1.2753841944934414,7.512269938650307,0.0003,0.52,0.7422701805353807,1.0,0.9,0.5,
8,1.194557839943482,1.276101024325157,7.512269938650307,0.0003,0.52,0.7422701805353807,1.0,0.9,0.5,
9,1.1885844637037397,1.2684651502446171,7.512269938650307,0.0003,0.5,0.7564328698900187,1.0,0.9,0.5,
10,1.2123674108745814,1.263444227504612,7.512269938650307,0.0003,0.51,0.7542021166217058,1.0,0.9,0.5,
11,1.1989643684593407,1.2514142162885513,7.512269938650307,0.0003,0.55,0.788493463374144,1.0,0.9,0.5,
12,1.184360397141259,1.2501897486907694,7.512269938650307,0.0003,0.5,0.7780141108113716,1.0,0.9,0.5,
13,1.1927485170450296,1.2542188294610421,7.512269938650307,0.0003,0.5,0.7780141108113716,1.0,0.9,0.5,
14,1.173255512134449,1.240013654347246,7.512269938650307,0.0003,0.49,0.7940444075534343,1.0,0.9,0.5,
15,1.1833753432883873,1.228094382800134,7.512269938650307,0.0003,0.52,0.7918136542851214,1.0,0.9,0.5,
16,1.166205301585498,1.2260233118040706,7.512269938650307,0.0003,0.53,0.8223697862627101,1.0,0.9,0.5,
17,1.1572235916326712,1.2127519699720646,7.512269938650307,0.0003,0.52,0.8201390329943972,1.0,0.9,0.5,
18,1.172390196645582,1.2092009524282765,7.512269938650307,0.0003,0.51,0.8283357543058726,1.0,0.9,0.5,
19,1.1542640487997382,1.2168350568343569,7.512269938650307,0.0003,0.51,0.8283357543058726,1.0,0.9,0.5,
20,1.1671195215147894,1.1949770725349511,7.512269938650307,0.0003,0.49,0.800373521477485,1.0,0.9,0.5,
21,1.15058010135685,1.18867073035447,7.512269938650307,0.0003,0.47000000000000003,0.8186345714878606,1.0,0.9,0.5,
22,1.1436246758538324,1.1914972721274752,7.512269938650307,0.0003,0.47000000000000003,0.8186345714878606,1.0,0.9,0.5,
23,1.1489612625311088,1.1607488073233188,7.512269938650307,0.0003,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
24,1.1577502261625754,1.176776565140508,7.512269938650307,0.0003,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
25,1.1732239248301533,1.1978785480560719,7.512269938650307,0.0003,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
26,1.1338788399395643,1.1765917703564726,7.512269938650307,0.00015,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
27,1.1477071452785184,1.1721711572365838,7.512269938650307,0.00015,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
28,1.1395180090912826,1.1621601466352611,7.512269938650307,0.00015,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
29,1.1476912726153126,1.174138210372263,7.512269938650307,7.5e-05,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
30,1.1386104467323235,1.168064124522156,7.512269938650307,7.5e-05,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
31,1.1332374680794037,1.1662742734103102,7.512269938650307,7.5e-05,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
32,1.1426087434871777,1.1659791242086606,7.512269938650307,3.75e-05,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
33,1.141709349993113,1.162212983383122,7.512269938650307,3.75e-05,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
34,1.1386842561412502,1.1668519849670864,7.512269938650307,3.75e-05,0.47000000000000003,0.8290620460676489,1.0,0.9,0.5,
35,1.1458211585637685,1.1589470346916415,7.512269938650307,3.75e-05,0.47000000000000003,0.8417202739157501,1.0,0.9,0.5,
36,1.1354572788874309,1.1619125109770632,7.512269938650307,3.75e-05,0.47000000000000003,0.8417202739157501,1.0,0.9,0.5,
37,1.1220232750703623,1.1628997240220156,7.512269938650307,3.75e-05,0.47000000000000003,0.8417202739157501,1.0,0.9,0.5,
38,1.1272286647074932,1.1585919032752736,7.512269938650307,3.75e-05,0.45,0.8540153558829633,1.0,0.9,0.5,
39,1.108474228016965,1.157248471010721,7.512269938650307,3.75e-05,0.45,0.8458186345714879,1.0,0.9,0.5,
40,1.1469711338936746,1.1630735669141956,7.512269938650307,3.75e-05,0.45,0.8458186345714879,1.0,0.9,0.5,
