experiment_name,mode,checkpoint_path,threshold,aggregation_method,split,segment_n_total,segment_n_allow,segment_n_not_allow,segment_false_accept,segment_false_reject,segment_far,segment_frr,segment_acc,segment_balanced_error,segment_gap_far_frr,recording_n_total,recording_n_allow,recording_n_not_allow,recording_false_accept,recording_false_reject,recording_far,recording_frr,recording_acc,recording_balanced_error,recording_gap_far_frr
finetune_from_family_winner_trial_002,binary,voice_access_files\models\finetune_from_family_winner_trial_002.pt,0.45,mean,train,2775,326,2449,671,49,0.27398938342180484,0.15030674846625766,0.7405405405405405,0.21214806594403124,0.12368263495554718,888,243,645,239,21,0.3705426356589147,0.08641975308641975,0.7072072072072072,0.22848119437266723,0.28412288257249496
finetune_from_family_winner_trial_002,binary,voice_access_files\models\finetune_from_family_winner_trial_002.pt,0.45,mean,valid,807,116,691,132,27,0.191027496382055,0.23275862068965517,0.8029739776951673,0.21189305853585508,0.041731124307600176,201,79,122,0,9,0.0,0.11392405063291139,0.9552238805970149,0.056962025316455694,0.11392405063291139
finetune_from_family_winner_trial_002,binary,voice_access_files\models\finetune_from_family_winner_trial_002.pt,0.45,mean,test,837,132,705,127,24,0.18014184397163122,0.18181818181818182,0.8195937873357229,0.1809800128949065,0.0016763378465506074,220,98,122,3,9,0.02459016393442623,0.09183673469387756,0.9454545454545454,0.05821344931415189,0.06724657075945133
