experiment_name,mode,checkpoint_path,threshold,aggregation_method,split,segment_n_total,segment_n_allow,segment_n_not_allow,segment_false_accept,segment_false_reject,segment_far,segment_frr,segment_acc,segment_balanced_error,segment_gap_far_frr,recording_n_total,recording_n_allow,recording_n_not_allow,recording_false_accept,recording_false_reject,recording_far,recording_frr,recording_acc,recording_balanced_error,recording_gap_far_frr
plaincnn_default,binary,voice_access_files\models\plaincnn_default.pt,0.5,mean,train,2775,326,2449,423,11,0.1727235606369947,0.03374233128834356,0.8436036036036036,0.10323294596266913,0.13898122934865115,888,243,645,150,3,0.23255813953488372,0.012345679012345678,0.8277027027027027,0.1224519092736147,0.22021246052253804
plaincnn_default,binary,voice_access_files\models\plaincnn_default.pt,0.5,mean,valid,807,116,691,83,13,0.12011577424023155,0.11206896551724138,0.8810408921933085,0.11609236987873647,0.00804680872299017,201,79,122,4,3,0.03278688524590164,0.0379746835443038,0.9651741293532339,0.03538078439510272,0.0051877982984021576
plaincnn_default,binary,voice_access_files\models\plaincnn_default.pt,0.5,mean,test,837,132,705,82,10,0.11631205673758865,0.07575757575757576,0.8900836320191159,0.0960348162475822,0.040554480980012894,220,98,122,3,1,0.02459016393442623,0.01020408163265306,0.9818181818181818,0.017397122783539644,0.014386082301773169
