experiment_name,mode,checkpoint_path,threshold,aggregation_method,split,segment_n_total,segment_n_allow,segment_n_not_allow,segment_false_accept,segment_false_reject,segment_far,segment_frr,segment_acc,segment_balanced_error,segment_gap_far_frr,recording_n_total,recording_n_allow,recording_n_not_allow,recording_false_accept,recording_false_reject,recording_far,recording_frr,recording_acc,recording_balanced_error,recording_gap_far_frr
finetune_from_family_winner_trial_000,binary,voice_access_files\models\finetune_from_family_winner_trial_000.pt,0.63,mean,train,2775,326,2449,296,10,0.12086565945283789,0.03067484662576687,0.8897297297297297,0.07577025303930238,0.09019081282707102,888,243,645,115,1,0.17829457364341086,0.00411522633744856,0.8693693693693694,0.09120489999042972,0.1741793473059623
finetune_from_family_winner_trial_000,binary,voice_access_files\models\finetune_from_family_winner_trial_000.pt,0.63,mean,valid,807,116,691,58,17,0.08393632416787265,0.14655172413793102,0.9070631970260223,0.11524402415290183,0.06261539997005837,201,79,122,1,5,0.00819672131147541,0.06329113924050633,0.9701492537313433,0.03574393027599087,0.05509441792903092
finetune_from_family_winner_trial_000,binary,voice_access_files\models\finetune_from_family_winner_trial_000.pt,0.63,mean,test,837,132,705,62,13,0.08794326241134752,0.09848484848484848,0.910394265232975,0.093214055448098,0.010541586073500961,220,98,122,0,4,0.0,0.04081632653061224,0.9818181818181818,0.02040816326530612,0.04081632653061224
