experiment_name,mode,checkpoint_path,threshold,aggregation_method,split,segment_n_total,segment_n_allow,segment_n_not_allow,segment_false_accept,segment_false_reject,segment_far,segment_frr,segment_acc,segment_balanced_error,segment_gap_far_frr,recording_n_total,recording_n_allow,recording_n_not_allow,recording_false_accept,recording_false_reject,recording_far,recording_frr,recording_acc,recording_balanced_error,recording_gap_far_frr
final_operational_model,binary,voice_access_files\models\final_operational_model.pt,0.5700000000000001,mean,train,2775,326,2449,353,4,0.14414046549612086,0.012269938650306749,0.8713513513513513,0.07820520207321381,0.1318705268458141,888,243,645,157,2,0.2434108527131783,0.00823045267489712,0.8209459459459459,0.12582065269403772,0.2351804000382812
final_operational_model,binary,voice_access_files\models\final_operational_model.pt,0.5700000000000001,mean,valid,807,116,691,64,10,0.09261939218523878,0.08620689655172414,0.9083023543990086,0.08941314436848147,0.006412495633514634,201,79,122,4,3,0.03278688524590164,0.0379746835443038,0.9651741293532339,0.03538078439510272,0.0051877982984021576
final_operational_model,binary,voice_access_files\models\final_operational_model.pt,0.5700000000000001,mean,test,837,132,705,62,9,0.08794326241134752,0.06818181818181818,0.9151732377538829,0.07806254029658286,0.019761444229529343,220,98,122,2,2,0.01639344262295082,0.02040816326530612,0.9818181818181818,0.01840080294412847,0.0040147206423553
