experiment_name,mode,checkpoint_path,threshold,aggregation_method,split,segment_n_total,segment_n_allow,segment_n_not_allow,segment_false_accept,segment_false_reject,segment_far,segment_frr,segment_acc,segment_balanced_error,segment_gap_far_frr,recording_n_total,recording_n_allow,recording_n_not_allow,recording_false_accept,recording_false_reject,recording_far,recording_frr,recording_acc,recording_balanced_error,recording_gap_far_frr
rescnn_default,binary,voice_access_files\models\rescnn_default.pt,0.43,mean,train,2775,326,2449,405,4,0.16537362188648427,0.012269938650306749,0.8526126126126126,0.08882178026839552,0.1531036832361775,888,243,645,179,0,0.2775193798449612,0.0,0.7984234234234234,0.1387596899224806,0.2775193798449612
rescnn_default,binary,voice_access_files\models\rescnn_default.pt,0.43,mean,valid,807,116,691,75,12,0.1085383502170767,0.10344827586206896,0.8921933085501859,0.10599331303957282,0.0050900743550077315,201,79,122,3,0,0.02459016393442623,0.0,0.9850746268656716,0.012295081967213115,0.02459016393442623
rescnn_default,binary,voice_access_files\models\rescnn_default.pt,0.43,mean,test,837,132,705,68,9,0.09645390070921986,0.06818181818181818,0.9080047789725209,0.08231785944551902,0.028272082527401682,220,98,122,1,2,0.00819672131147541,0.02040816326530612,0.9863636363636363,0.014302442288390765,0.01221144195383071
