epoch,train_loss,valid_loss,pos_weight,lr,best_threshold,best_valid_balanced_accuracy,threshold_false_accept_weight,threshold_false_reject_weight,threshold_penalty_gap,initialized_from_checkpoint
1,1.3545308504448281,1.2200480662609416,7.512269938650307,0.0003,0.54,0.8335235526042748,1.0,0.9,0.5,
2,1.2095977383690912,1.186375604981679,7.512269938650307,0.0003,0.46,0.8540153558829633,1.0,0.9,0.5,
3,1.1659999151487608,1.0968332142930344,7.512269938650307,0.0003,0.42000000000000004,0.8837933181157916,1.0,0.9,0.5,
4,1.0891458795951294,1.109713245944906,7.512269938650307,0.0003,0.42000000000000004,0.8837933181157916,1.0,0.9,0.5,
5,1.0772555133888313,1.022263164413906,7.512269938650307,0.0003,0.51,0.8815625648474787,1.0,0.9,0.5,
6,1.0651625593288525,1.407585091750418,7.512269938650307,0.0003,0.51,0.8815625648474787,1.0,0.9,0.5,
7,1.0485718265310064,0.9784580352433404,7.512269938650307,0.0003,0.59,0.9165802033616933,1.0,0.9,0.5,
8,1.0119718057615263,0.9398342425642995,7.512269938650307,0.0003,0.5800000000000001,0.9124818427059556,1.0,0.9,0.5,
9,0.9969030162020847,0.9787356484187433,7.512269938650307,0.0003,0.5800000000000001,0.9124818427059556,1.0,0.9,0.5,
10,0.9837794158265397,1.1223717994406321,7.512269938650307,0.0003,0.5800000000000001,0.9124818427059556,1.0,0.9,0.5,
11,0.9915249605436582,0.9213146386388805,7.512269938650307,0.0003,0.6,0.9582901016808466,1.0,0.9,0.5,
12,0.9777715412990466,1.0132708759260591,7.512269938650307,0.0003,0.6,0.9582901016808466,1.0,0.9,0.5,
13,0.9468937960401311,1.3257750418992733,7.512269938650307,0.0003,0.6,0.9582901016808466,1.0,0.9,0.5,
14,0.9284457650055756,0.9230599944033144,7.512269938650307,0.00015,0.6,0.9582901016808466,1.0,0.9,0.5,
15,0.8592846662933762,0.7296712711693482,7.512269938650307,0.00015,0.42000000000000004,0.9582901016808466,1.0,0.9,0.5,
16,0.8386229510994645,1.0216837567467671,7.512269938650307,0.00015,0.42000000000000004,0.9582901016808466,1.0,0.9,0.5,
17,0.8181994252161937,0.7560394918165242,7.512269938650307,0.00015,0.42000000000000004,0.9582901016808466,1.0,0.9,0.5,
18,0.7723496025854403,0.6479728945716754,7.512269938650307,0.00015,0.54,0.9709483295289479,1.0,0.9,0.5,
19,0.7559845085831376,0.706407596926116,7.512269938650307,0.00015,0.54,0.9709483295289479,1.0,0.9,0.5,
20,0.7711121111732345,0.807929450251356,7.512269938650307,0.00015,0.54,0.9709483295289479,1.0,0.9,0.5,
21,0.7129271711100329,0.6543478389654904,7.512269938650307,7.5e-05,0.54,0.9709483295289479,1.0,0.9,0.5,
22,0.6971919999895869,0.6958118247276789,7.512269938650307,7.5e-05,0.54,0.9709483295289479,1.0,0.9,0.5,
23,0.6702129154591947,0.5827891300749749,7.512269938650307,7.5e-05,0.4,0.9731790827972608,1.0,0.9,0.5,
24,0.6475213638941447,0.6006881357568791,7.512269938650307,7.5e-05,0.4,0.9731790827972608,1.0,0.9,0.5,
25,0.6146136239842251,0.6038317166296523,7.512269938650307,7.5e-05,0.4,0.9731790827972608,1.0,0.9,0.5,
26,0.633341630428761,0.6249718837430781,7.512269938650307,3.75e-05,0.4,0.9731790827972608,1.0,0.9,0.5,
27,0.5986618152609816,0.5292364531733289,7.512269938650307,3.75e-05,0.43,0.9877049180327869,1.0,0.9,0.5,
28,0.5868403404038232,0.6395302547102671,7.512269938650307,3.75e-05,0.43,0.9877049180327869,1.0,0.9,0.5,
29,0.5778943484645706,0.5925993863239312,7.512269938650307,3.75e-05,0.43,0.9877049180327869,1.0,0.9,0.5,
30,0.5868549167465519,0.6904777022542563,7.512269938650307,1.875e-05,0.43,0.9877049180327869,1.0,0.9,0.5,
31,0.5902657043719077,0.5389844012230893,7.512269938650307,1.875e-05,0.43,0.9877049180327869,1.0,0.9,0.5,
32,0.5686260627411507,0.6511402254210972,7.512269938650307,1.875e-05,0.43,0.9877049180327869,1.0,0.9,0.5,
33,0.6065439250877311,0.5561111788767421,7.512269938650307,9.375e-06,0.43,0.9877049180327869,1.0,0.9,0.5,
34,0.601876195142935,0.6205456234708595,7.512269938650307,9.375e-06,0.43,0.9877049180327869,1.0,0.9,0.5,
35,0.5776910769402444,0.5786814163756341,7.512269938650307,9.375e-06,0.43,0.9877049180327869,1.0,0.9,0.5,
36,0.5622734216312031,0.5658700531152396,7.512269938650307,4.6875e-06,0.43,0.9877049180327869,1.0,0.9,0.5,
37,0.5438668747635576,0.6226740548158667,7.512269938650307,4.6875e-06,0.43,0.9877049180327869,1.0,0.9,0.5,
38,0.6140731409970704,0.5857663646506555,7.512269938650307,4.6875e-06,0.43,0.9877049180327869,1.0,0.9,0.5,
39,0.5751846955058811,0.543360204353947,7.512269938650307,2.34375e-06,0.43,0.9877049180327869,1.0,0.9,0.5,
40,0.5744183983673921,0.5543492521347462,7.512269938650307,2.34375e-06,0.43,0.9877049180327869,1.0,0.9,0.5,
