experiment_name,mode,checkpoint_path,threshold,aggregation_method,split,segment_n_total,segment_n_allow,segment_n_not_allow,segment_false_accept,segment_false_reject,segment_far,segment_frr,segment_acc,segment_balanced_error,segment_gap_far_frr,recording_n_total,recording_n_allow,recording_n_not_allow,recording_false_accept,recording_false_reject,recording_far,recording_frr,recording_acc,recording_balanced_error,recording_gap_far_frr
finetune_from_family_winner_trial_003,binary,voice_access_files\models\finetune_from_family_winner_trial_003.pt,0.62,mean,train,2775,326,2449,266,10,0.10861576153532054,0.03067484662576687,0.9005405405405406,0.0696453040805437,0.07794091490955367,888,243,645,114,0,0.17674418604651163,0.0,0.8716216216216216,0.08837209302325581,0.17674418604651163
finetune_from_family_winner_trial_003,binary,voice_access_files\models\finetune_from_family_winner_trial_003.pt,0.62,mean,valid,807,116,691,46,18,0.06657018813314038,0.15517241379310345,0.9206939281288724,0.11087130096312192,0.08860222565996308,201,79,122,3,5,0.02459016393442623,0.06329113924050633,0.9601990049751243,0.04394065158746628,0.038700975306080104
finetune_from_family_winner_trial_003,binary,voice_access_files\models\finetune_from_family_winner_trial_003.pt,0.62,mean,test,837,132,705,53,14,0.075177304964539,0.10606060606060606,0.9199522102747909,0.09061895551257254,0.03088330109606706,220,98,122,0,5,0.0,0.05102040816326531,0.9772727272727273,0.025510204081632654,0.05102040816326531
