experiment_name,model_name,checkpoint_path,data_signature,selection_split,binary_valid_recording_balanced_error,binary_valid_recording_far,binary_valid_recording_frr,binary_valid_recording_acc,prototype_valid_balanced_error,prototype_valid_far,prototype_valid_frr,binary_test_recording_balanced_error,binary_test_recording_far,binary_test_recording_frr,binary_test_recording_acc,prototype_test_balanced_error,prototype_test_far,prototype_test_frr,prototype_similarity_threshold,n_prototypes
rescnn_default,rescnn,voice_access_files\models\rescnn_default.pt,d9e067faca7e3c1c,valid,0.012295081967213115,0.02459016393442623,0.0,0.9850746268656716,0.014525835235526044,0.01639344262295082,0.012658227848101266,0.014302442288390765,0.00819672131147541,0.02040816326530612,0.9863636363636363,0.02040816326530612,0.0,0.04081632653061224,0.8300000000000001,5
transfercnn_default,transfercnn,voice_access_files\models\transfercnn_default.pt,d9e067faca7e3c1c,valid,0.01675658850383897,0.00819672131147541,0.02531645569620253,0.9850746268656716,0.023085702427889605,0.00819672131147541,0.0379746835443038,0.02860488457678153,0.01639344262295082,0.04081632653061224,0.9727272727272728,0.033706925393108066,0.01639344262295082,0.05102040816326531,0.31,5
plaincnn_default,plaincnn,voice_access_files\models\plaincnn_default.pt,d9e067faca7e3c1c,valid,0.03538078439510272,0.03278688524590164,0.0379746835443038,0.9651741293532339,0.029051670471052088,0.03278688524590164,0.02531645569620253,0.017397122783539644,0.02459016393442623,0.01020408163265306,0.9818181818181818,0.015306122448979591,0.0,0.030612244897959183,0.8400000000000001,5
mobilecnn_default,mobilecnn,voice_access_files\models\mobilecnn_default.pt,d9e067faca7e3c1c,valid,0.15418136542851213,0.13114754098360656,0.17721518987341772,0.8507462686567164,0.1564121186968251,0.12295081967213115,0.189873417721519,0.15339578454332553,0.16393442622950818,0.14285714285714285,0.8454545454545455,0.15849782535965207,0.16393442622950818,0.15306122448979592,0.9,5
