experiment_name,mode,checkpoint_path,threshold,aggregation_method,split,segment_n_total,segment_n_allow,segment_n_not_allow,segment_false_accept,segment_false_reject,segment_far,segment_frr,segment_acc,segment_balanced_error,segment_gap_far_frr,recording_n_total,recording_n_allow,recording_n_not_allow,recording_false_accept,recording_false_reject,recording_far,recording_frr,recording_acc,recording_balanced_error,recording_gap_far_frr
transfercnn_default,binary,voice_access_files\models\transfercnn_default.pt,0.34,mean,train,2775,326,2449,132,0,0.05389955083707636,0.0,0.9524324324324325,0.02694977541853818,0.05389955083707636,888,243,645,27,0,0.04186046511627907,0.0,0.9695945945945946,0.020930232558139535,0.04186046511627907
transfercnn_default,binary,voice_access_files\models\transfercnn_default.pt,0.34,mean,valid,807,116,691,57,11,0.0824891461649783,0.09482758620689655,0.9157372986369269,0.08865836618593742,0.012338440041918253,201,79,122,1,2,0.00819672131147541,0.02531645569620253,0.9850746268656716,0.01675658850383897,0.017119734384727123
transfercnn_default,binary,voice_access_files\models\transfercnn_default.pt,0.34,mean,test,837,132,705,52,15,0.07375886524822695,0.11363636363636363,0.9199522102747909,0.0936976144422953,0.03987749838813669,220,98,122,2,4,0.01639344262295082,0.04081632653061224,0.9727272727272728,0.02860488457678153,0.02442288390766142
