epoch,train_loss,valid_loss,pos_weight,lr,best_threshold,best_valid_balanced_accuracy,threshold_false_accept_weight,threshold_false_reject_weight,threshold_penalty_gap,initialized_from_checkpoint
1,1.0915329593581122,1.2805282995751062,7.512269938650307,0.0003,0.5,0.764266445320606,1.0,0.9,0.5,
2,0.9437356350013801,1.3272245896350052,7.512269938650307,0.0003,0.5,0.764266445320606,1.0,0.9,0.5,
3,0.8752974111969406,1.6720420020220448,7.512269938650307,0.0003,0.5,0.764266445320606,1.0,0.9,0.5,
4,0.7798928563498162,1.7218825119874144,7.512269938650307,0.00015,0.5,0.764266445320606,1.0,0.9,0.5,
5,0.708981311106467,1.5003746292995845,7.512269938650307,0.00015,0.5,0.764266445320606,1.0,0.9,0.5,
6,0.6588885139774632,0.8805462353882441,7.512269938650307,0.00015,0.27,0.954191741025109,1.0,0.9,0.5,
7,0.5641076396499668,0.9185539817869146,7.512269938650307,0.00015,0.27,0.954191741025109,1.0,0.9,0.5,
8,0.49942019516283326,0.798443108538565,7.512269938650307,0.00015,0.44,0.9582901016808466,1.0,0.9,0.5,
9,0.5136879570178083,1.0563586335790793,7.512269938650307,0.00015,0.44,0.9582901016808466,1.0,0.9,0.5,
10,0.5131847666566436,0.7547396963561482,7.512269938650307,0.00015,0.4,0.9769142975721103,1.0,0.9,0.5,
11,0.45657362202266316,1.0744830737769826,7.512269938650307,0.00015,0.4,0.9769142975721103,1.0,0.9,0.5,
12,0.424636294243035,1.034552810360508,7.512269938650307,0.00015,0.4,0.9769142975721103,1.0,0.9,0.5,
13,0.40558241024747627,1.1515265871601035,7.512269938650307,7.5e-05,0.4,0.9769142975721103,1.0,0.9,0.5,
14,0.3270402185659151,0.7981471817437306,7.512269938650307,7.5e-05,0.4,0.9769142975721103,1.0,0.9,0.5,
15,0.32149053742219735,0.7379745630526632,7.512269938650307,7.5e-05,0.33,0.9791450508404234,1.0,0.9,0.5,
16,0.38498634002230187,0.7626841515856605,7.512269938650307,7.5e-05,0.33,0.9791450508404234,1.0,0.9,0.5,
17,0.3278409896562765,0.737870854294433,7.512269938650307,7.5e-05,0.3,0.9813758041087363,1.0,0.9,0.5,
18,0.29277971906704947,0.7431020785441629,7.512269938650307,7.5e-05,0.3,0.9813758041087363,1.0,0.9,0.5,
19,0.30946350464949735,0.7794772670910113,7.512269938650307,7.5e-05,0.3,0.9813758041087363,1.0,0.9,0.5,
20,0.2823170955761059,0.7199750082495783,7.512269938650307,7.5e-05,0.31,0.9709483295289479,1.0,0.9,0.5,
21,0.3544089198031941,0.6591191904843223,7.512269938650307,7.5e-05,0.34,0.983243411496161,1.0,0.9,0.5,
22,0.2561662893386574,0.8931404837445256,7.512269938650307,7.5e-05,0.34,0.983243411496161,1.0,0.9,0.5,
23,0.27810609733467706,0.861826370787591,7.512269938650307,7.5e-05,0.34,0.983243411496161,1.0,0.9,0.5,
24,0.29475677534266637,0.7763004873174126,7.512269938650307,3.75e-05,0.34,0.983243411496161,1.0,0.9,0.5,
25,0.24871648140453004,0.8567350996471249,7.512269938650307,3.75e-05,0.34,0.983243411496161,1.0,0.9,0.5,
26,0.2501963496047097,0.8988302225221636,7.512269938650307,3.75e-05,0.34,0.983243411496161,1.0,0.9,0.5,
27,0.2822075564729738,0.7747453928289213,7.512269938650307,1.875e-05,0.34,0.983243411496161,1.0,0.9,0.5,
28,0.23074758617190627,0.7855015539251443,7.512269938650307,1.875e-05,0.34,0.983243411496161,1.0,0.9,0.5,
29,0.20895504824750058,0.7664957724539321,7.512269938650307,1.875e-05,0.34,0.983243411496161,1.0,0.9,0.5,
30,0.25334538228876957,0.769986307015354,7.512269938650307,9.375e-06,0.34,0.983243411496161,1.0,0.9,0.5,
31,0.25581592891667343,0.7570005407859254,7.512269938650307,9.375e-06,0.34,0.983243411496161,1.0,0.9,0.5,
32,0.26326230116524135,0.7771778450136291,7.512269938650307,9.375e-06,0.34,0.983243411496161,1.0,0.9,0.5,
33,0.23659799432969308,0.7565876660589245,7.512269938650307,4.6875e-06,0.34,0.983243411496161,1.0,0.9,0.5,
34,0.19359896519162634,0.7721499068734076,7.512269938650307,4.6875e-06,0.34,0.983243411496161,1.0,0.9,0.5,
35,0.1954260817733971,0.7659748530446966,7.512269938650307,4.6875e-06,0.34,0.983243411496161,1.0,0.9,0.5,
36,0.2159325547825109,0.7805372725484392,7.512269938650307,2.34375e-06,0.34,0.983243411496161,1.0,0.9,0.5,
